Filename,l_start_index,shift_scale,shift_direction
H1,207,-1.6948144802903493,-1
H10,211,-1.669536500409154,-1
H11,226,-0.7339917805043039,-1
H12,563,1.7992642186624028,1
H13,235,0.5308767414437037,1
H14,448,1.7486639612006325,1
H15,490,-0.7727374508106509,-1
H16,265,0.9563633644393066,1
H17,357,-1.1479175279631737,-1
H18,579,1.4177793420835691,1
H19,580,-1.9606332782621887,-1
H2,294,0.6359096517992312,1
H20,348,-1.3886218532930636,-1
H21,589,-1.4113172778521577,-1
H22,271,-0.5198974417397998,-1
H23,420,1.3449323267683089,1
H24,450,0.6465081710095758,1
H25,196,-1.1602287406094018,-1
H26,532,-1.2427653651669053,-1
H27,139,1.8639806031181732,1
H28,492,0.9675666141341164,1
H29,210,-1.3515504917299872,-1
H3,506,1.6626992350416718,1
H30,306,1.8422410256414732,1
H31,375,-0.6327387530778792,-1
H32,356,0.5678409333658071,1
H33,442,1.3095381985836196,1
H34,321,0.9214017645310711,1
H35,597,-0.711386337462144,-1
H36,169,-0.523454610111791,-1
H37,448,1.0923222772633545,1
H38,576,-0.5211197340726267,-1
H39,496,-1.5935107520614809,-1
H4,483,-0.6110669776011355,-1
H40,145,-1.8724395133156713,-1
H5,137,-0.5953375254290354,-1
H6,203,1.3869466815615907,1
H7,566,-1.7733707363991258,-1
H8,322,0.8539773796234336,1
H9,497,1.565994334528681,1
