Filename,n_strength
H1,0.1686902154501571
H10,0.17669644878759116
H11,0.19995168584505266
H12,0.18747419641684132
H13,0.1828135122307769
H14,0.18754951785439097
H15,0.14199104619951464
H16,0.14268480323173416
H17,0.12915988809670456
H18,0.17336562677528633
H19,0.19997793655759882
H2,0.20389493102257902
H20,0.2145616481999737
H21,0.1257923621102949
H22,0.2248729198458146
H23,0.2355689130123232
H24,0.13093431291025914
H25,0.18783757166729984
H26,0.20391377009162587
H27,0.24185414320621101
H28,0.17572392401097375
H29,0.16301073463344384
H3,0.20921068365505635
H30,0.20543771595690075
H31,0.16231733761206446
H32,0.1339099962928679
H33,0.13804616869163172
H34,0.24068833968373662
H35,0.14965998467368027
H36,0.17719484894008758
H37,0.18487538950374677
H38,0.15347960853127585
H39,0.14635085808552736
H4,0.1580824747456047
H40,0.15037528601350303
H5,0.12123283615888877
H6,0.17199101219837437
H7,0.21410515921450357
H8,0.1379624620842032
H9,0.1451444178886615
