Filename,n_strength
midas_id_10373_M6_5717L_total_vol,0.1686902154501571
midas_id_13_M62_2328B_speed_avg_mph,0.23410742263214124
midas_id_13_M62_2328B_total_vol,0.2126940893287635
midas_id_14749_M5_7300A_total_vol,0.20607655535105235
midas_id_19_M1_4890A_total_vol,0.22822400810729876
midas_id_20_M3_2039B_total_vol,0.14988615377385026
midas_id_21_M1_4846A_speed_avg_mph,0.17216829132174394
midas_id_21_M1_4846A_total_vol,0.2253453108289002
midas_id_2606_M25_5110A_total_vol,0.24269970355039094
midas_id_2960_M25_5054A_total_vol,0.2103341018301656
midas_id_2_A1M_2259B_total_vol,0.17175588886486304
midas_id_3_M5_7482B_total_vol,0.23069029402158248
midas_id_4_M3_2173A_total_vol,0.24001886197176492
midas_id_5_M25_5764B_total_vol,0.12903006326392913
midas_id_7_A1M_9869K_total_vol,0.16357131771289898
midas_id_827_M6_6933B_total_vol,0.21470344542956116
midas_id_8_M25_4876A_total_vol,0.1406283394936013
midas_id_9960_A27_9481J_total_vol,0.20025875510910235
tame_id_6310_30360229_total_vol,0.2200866425803767
tame_id_6312_30360231_total_vol,0.13822628064199502
tame_id_6316_30360235_total_vol,0.16690813830958445
tame_id_6328_30360258_total_vol,0.1856938226547173
tame_id_6329_30360259_total_vol,0.14400088414341158
tame_id_6597_30360761_total_vol,0.22899560333794422
tame_id_6737_30360469_total_vol,0.19179320405988504
tame_id_6851_30361303_total_vol,0.24974366929383596
tame_id_7032_30361448_total_vol,0.19337706885039446
tame_id_7078_30361518_total_vol,0.13778550062324926
tame_id_7084_30361526_total_vol,0.23363521195015519
tmu_id_7236_5607_1_total_vol,0.24938441064427364
tmu_id_7237_5606_2_total_vol,0.21702762407421466
tmu_id_7238_5606_1_total_vol,0.20228527557553572
tmu_id_7239_5601_2_total_vol,0.1819714170977264
tmu_id_7240_5601_1_total_vol,0.15273584543911717
tmu_id_7335_5016_1_total_vol,0.20012805867597605
tmu_id_7494_5290_1_total_vol,0.14243586450628493
tmu_id_7531_5513_1_total_vol,0.17866795475060862
tmu_id_8858_9776_1_total_vol,0.2242115212209289
tmu_id_9213_9321_2_total_vol,0.13502981733104205
tmu_id_9263_5985_2_total_vol,0.12642320411351432
